Boss,Character,Profile,Floor,Runs,Wins,Win rate %,Average seconds,Average player HP %
"Ржавый Кузнец","violet",rich,3,30,30,100.00,2.94,100.00
"Ржавый Кузнец","sasha",poor,3,30,0,0.00,6.95,0.00
"Ржавый Кузнец","sasha",mid,3,30,30,100.00,9.74,56.73
"Ржавый Кузнец","sasha",rich,3,30,30,100.00,3.36,95.95
"Ржавый Кузнец","jennifer",poor,4,30,0,0.00,12.64,0.00
"Ржавый Кузнец","jennifer",mid,4,30,30,100.00,17.80,100.00
"Ржавый Кузнец","jennifer",rich,4,30,30,100.00,2.84,100.00
"Ржавый Кузнец","violet",poor,4,30,0,0.00,6.53,0.00
"Ржавый Кузнец","violet",mid,4,30,22,73.33,22.07,24.28
"Ржавый Кузнец","violet",rich,4,30,30,100.00,3.33,100.00
"Ржавый Кузнец","sasha",poor,4,30,0,0.00,7.82,0.00
"Ржавый Кузнец","sasha",mid,4,30,30,100.00,11.06,42.42
"Ржавый Кузнец","sasha",rich,4,30,30,100.00,3.65,94.37
"Ржавый Кузнец","jennifer",poor,5,30,0,0.00,12.36,0.00
"Ржавый Кузнец","jennifer",mid,5,30,30,100.00,21.14,100.00
"Ржавый Кузнец","jennifer",rich,5,30,30,100.00,3.54,100.00
"Ржавый Кузнец","violet",poor,5,30,0,0.00,6.86,0.00
"Ржавый Кузнец","violet",mid,5,30,13,43.33,23.00,9.38
"Ржавый Кузнец","violet",rich,5,30,30,100.00,3.65,100.00
"Ржавый Кузнец","sasha",poor,5,30,0,0.00,8.42,0.00
"Ржавый Кузнец","sasha",mid,5,30,30,100.00,12.36,28.36
"Ржавый Кузнец","sasha",rich,5,30,30,100.00,4.24,90.62
"Костяной Левиафан","jennifer",poor,7,30,0,0.00,19.68,0.00
"Костяной Левиафан","jennifer",mid,7,30,0,0.00,45.94,0.00
"Костяной Левиафан","jennifer",rich,7,30,30,100.00,11.00,100.00
"Костяной Левиафан","violet",poor,7,30,0,0.00,8.20,0.00
"Костяной Левиафан","violet",mid,7,30,0,0.00,31.90,0.00
"Костяной Левиафан","violet",rich,7,30,30,100.00,5.27,100.00
"Костяной Левиафан","sasha",poor,7,30,0,0.00,7.11,0.00
"Костяной Левиафан","sasha",mid,7,30,0,0.00,12.00,0.00
"Костяной Левиафан","sasha",rich,7,30,30,100.00,12.27,47.89
"Костяной Левиафан","jennifer",poor,8,30,0,0.00,15.40,0.00
"Костяной Левиафан","jennifer",mid,8,30,0,0.00,34.90,0.00
"Костяной Левиафан","jennifer",rich,8,30,30,100.00,12.63,100.00
"Костяной Левиафан","violet",poor,8,30,0,0.00,7.01,0.00
"Костяной Левиафан","violet",mid,8,30,0,0.00,26.70,0.00
"Костяной Левиафан","violet",rich,8,30,30,100.00,5.61,100.00
"Костяной Левиафан","sasha",poor,8,30,0,0.00,6.98,0.00
"Костяной Левиафан","sasha",mid,8,30,0,0.00,15.32,0.00
"Костяной Левиафан","sasha",rich,8,30,30,100.00,13.67,35.36
"Костяной Левиафан","jennifer",poor,9,30,0,0.00,11.46,0.00
"Костяной Левиафан","jennifer",mid,9,30,0,0.00,29.41,0.00
"Костяной Левиафан","jennifer",rich,9,30,30,100.00,14.59,100.00
"Костяной Левиафан","violet",poor,9,30,0,0.00,6.21,0.00
"Костяной Левиафан","violet",mid,9,30,0,0.00,23.28,0.00
"Костяной Левиафан","violet",rich,9,30,30,100.00,5.97,100.00
"Костяной Левиафан","sasha",poor,9,30,0,0.00,6.88,0.00
"Костяной Левиафан","sasha",mid,9,30,0,0.00,12.46,0.00
"Костяной Левиафан","sasha",rich,9,30,30,100.00,14.74,19.39
"Позолоченный Ростовщик","jennifer",poor,4,30,0,0.00,16.16,0.00
"Позолоченный Ростовщик","jennifer",mid,4,30,30,100.00,19.79,100.00
"Позолоченный Ростовщик","jennifer",rich,4,30,30,100.00,3.33,100.00
"Позолоченный Ростовщик","violet",poor,4,30,0,0.00,3.67,0.00
"Позолоченный Ростовщик","violet",mid,4,30,30,100.00,24.30,92.33
"Позолоченный Ростовщик","violet",rich,4,30,30,100.00,3.48,100.00
"Позолоченный Ростовщик","sasha",poor,4,30,0,0.00,6.61,0.00
"Позолоченный Ростовщик","sasha",mid,4,30,30,100.00,11.46,38.57
"Позолоченный Ростовщик","sasha",rich,4,30,30,100.00,4.63,94.08
"Позолоченный Ростовщик","jennifer",poor,5,30,0,0.00,15.53,0.00
"Позолоченный Ростовщик","jennifer",mid,5,30,30,100.00,23.35,100.00
"Позолоченный Ростовщик","jennifer",rich,5,30,30,100.00,3.91,100.00
"Позолоченный Ростовщик","violet",poor,5,30,0,0.00,3.98,0.00
"Позолоченный Ростовщик","violet",mid,5,30,30,100.00,27.29,92.62
"Позолоченный Ростовщик","violet",rich,5,30,30,100.00,3.68,100.00
"Позолоченный Ростовщик","sasha",poor,5,30,0,0.00,6.99,0.00
"Позолоченный Ростовщик","sasha",mid,5,30,30,100.00,12.60,24.45
"Позолоченный Ростовщик","sasha",rich,5,30,30,100.00,5.13,92.61
"Позолоченный Ростовщик","jennifer",poor,6,30,0,0.00,17.47,0.00
"Позолоченный Ростовщик","jennifer",mid,6,30,30,100.00,26.28,100.00
"Позолоченный Ростовщик","jennifer",rich,6,30,30,100.00,4.07,100.00
"Позолоченный Ростовщик","violet",poor,6,30,0,0.00,4.07,0.00
"Позолоченный Ростовщик","violet",mid,6,30,30,100.00,30.08,81.81
"Позолоченный Ростовщик","violet",rich,6,30,30,100.00,3.86,100.00
"Позолоченный Ростовщик","sasha",poor,6,30,0,0.00,7.06,0.00
"Позолоченный Ростовщик","sasha",mid,6,30,30,100.00,14.17,14.22
"Позолоченный Ростовщик","sasha",rich,6,30,30,100.00,5.69,90.52
"Пожирающий Амальгам","jennifer",poor,3,30,0,0.00,14.62,0.00
"Пожирающий Амальгам","jennifer",mid,3,30,30,100.00,16.03,100.00
"Пожирающий Амальгам","jennifer",rich,3,30,30,100.00,2.87,100.00
"Пожирающий Амальгам","violet",poor,3,30,0,0.00,7.22,0.00
"Пожирающий Амальгам","violet",mid,3,30,28,93.33,21.17,63.56
"Пожирающий Амальгам","violet",rich,3,30,30,100.00,3.34,100.00
"Пожирающий Амальгам","sasha",poor,3,30,0,0.00,6.66,0.00
"Пожирающий Амальгам","sasha",mid,3,30,30,100.00,9.77,60.57
"Пожирающий Амальгам","sasha",rich,3,30,30,100.00,4.90,94.30
"Пожирающий Амальгам","jennifer",poor,4,30,0,0.00,16.75,0.00
"Пожирающий Амальгам","jennifer",mid,4,30,30,100.00,17.27,100.00
"Пожирающий Амальгам","jennifer",rich,4,30,30,100.00,3.21,100.00
"Пожирающий Амальгам","violet",poor,4,30,0,0.00,8.26,0.00
"Пожирающий Амальгам","violet",mid,4,30,28,93.33,22.37,50.89
"Пожирающий Амальгам","violet",rich,4,30,30,100.00,3.74,100.00
"Пожирающий Амальгам","sasha",poor,4,30,0,0.00,7.36,0.00
"Пожирающий Амальгам","sasha",mid,4,30,30,100.00,11.32,50.49
"Пожирающий Амальгам","sasha",rich,4,30,30,100.00,5.36,92.99
"Пожирающий Амальгам","jennifer",poor,5,30,0,0.00,18.04,0.00
"Пожирающий Амальгам","jennifer",mid,5,30,30,100.00,20.41,100.00
"Пожирающий Амальгам","jennifer",rich,5,30,30,100.00,3.76,100.00
"Пожирающий Амальгам","violet",poor,5,30,0,0.00,8.73,0.00
"Пожирающий Амальгам","violet",mid,5,30,29,96.67,25.52,45.64
"Пожирающий Амальгам","violet",rich,5,30,30,100.00,4.04,100.00
"Пожирающий Амальгам","sasha",poor,5,30,0,0.00,7.97,0.00
"Пожирающий Амальгам","sasha",mid,5,30,30,100.00,12.38,31.53
"Пожирающий Амальгам","sasha",rich,5,30,30,100.00,5.32,91.51
"Пожирающий Амальгам","jennifer",poor,6,30,0,0.00,19.74,0.00
"Пожирающий Амальгам","jennifer",mid,6,30,30,100.00,24.25,96.95
"Пожирающий Амальгам","jennifer",rich,6,30,30,100.00,4.09,100.00
"Пожирающий Амальгам","violet",poor,6,30,0,0.00,8.76,0.00
"Пожирающий Амальгам","violet",mid,6,30,17,56.67,27.71,13.41
"Пожирающий Амальгам","violet",rich,6,30,30,100.00,4.34,100.00
"Пожирающий Амальгам","sasha",poor,6,30,0,0.00,8.12,0.00
"Пожирающий Амальгам","sasha",mid,6,30,28,93.33,13.86,13.40
"Пожирающий Амальгам","sasha",rich,6,30,30,100.00,6.36,89.24
"Паучиха-Прародительница","jennifer",poor,5,30,0,0.00,10.82,0.00
"Паучиха-Прародительница","jennifer",mid,5,30,30,100.00,24.82,86.58
"Паучиха-Прародительница","jennifer",rich,5,30,30,100.00,3.30,100.00
"Паучиха-Прародительница","violet",poor,5,30,0,0.00,5.95,0.00
"Паучиха-Прародительница","violet",mid,5,30,1,3.33,22.24,0.18
"Паучиха-Прародительница","violet",rich,5,30,30,100.00,3.26,100.00
"Паучиха-Прародительница","sasha",poor,5,30,0,0.00,6.82,0.00
"Паучиха-Прародительница","sasha",mid,5,30,16,53.33,12.23,2.75
"Паучиха-Прародительница","sasha",rich,5,30,30,100.00,4.21,90.69
"Паучиха-Прародительница","jennifer",poor,6,30,0,0.00,10.22,0.00
"Паучиха-Прародительница","jennifer",mid,6,30,21,70.00,28.96,24.07
"Паучиха-Прародительница","jennifer",rich,6,30,30,100.00,3.73,100.00
"Паучиха-Прародительница","violet",poor,6,30,0,0.00,5.59,0.00
"Паучиха-Прародительница","violet",mid,6,30,0,0.00,19.63,0.00
"Паучиха-Прародительница","violet",rich,6,30,30,100.00,3.43,100.00
"Паучиха-Прародительница","sasha",poor,6,30,0,0.00,6.95,0.00
"Паучиха-Прародительница","sasha",mid,6,30,0,0.00,11.93,0.00
"Паучиха-Прародительница","sasha",rich,6,30,30,100.00,4.75,86.55
"Паучиха-Прародительница","jennifer",poor,7,30,0,0.00,9.79,0.00
"Паучиха-Прародительница","jennifer",mid,7,30,0,0.00,27.02,0.00
"Паучиха-Прародительница","jennifer",rich,7,30,30,100.00,4.29,100.00
"Паучиха-Прародительница","violet",poor,7,30,0,0.00,5.45,0.00
"Паучиха-Прародительница","violet",mid,7,30,0,0.00,17.76,0.00
"Паучиха-Прародительница","violet",rich,7,30,30,100.00,3.79,100.00
"Паучиха-Прародительница","sasha",poor,7,30,0,0.00,6.96,0.00
"Паучиха-Прародительница","sasha",mid,7,30,0,0.00,11.29,0.00
"Паучиха-Прародительница","sasha",rich,7,30,30,100.00,5.38,80.61
"Зеркальный Двойник","jennifer",poor,6,30,0,0.00,16.95,0.00
"Зеркальный Двойник","jennifer",mid,6,30,30,100.00,29.58,100.00
"Зеркальный Двойник","jennifer",rich,6,30,30,100.00,4.57,100.00
"Зеркальный Двойник","violet",poor,6,30,0,0.00,7.57,0.00
"Зеркальный Двойник","violet",mid,6,30,5,16.67,30.04,0.96
"Зеркальный Двойник","violet",rich,6,30,30,100.00,3.93,100.00
"Зеркальный Двойник","sasha",poor,6,30,0,0.00,7.06,0.00
"Зеркальный Двойник","sasha",mid,6,30,0,0.00,14.02,0.00
"Зеркальный Двойник","sasha",rich,6,30,27,90.00,3.77,27.67
"Зеркальный Двойник","jennifer",poor,7,30,0,0.00,14.04,0.00
"Зеркальный Двойник","jennifer",mid,7,30,23,76.67,34.68,23.90
"Зеркальный Двойник","jennifer",rich,7,30,30,100.00,5.73,100.00
"Зеркальный Двойник","violet",poor,7,30,0,0.00,6.85,0.00
"Зеркальный Двойник","violet",mid,7,30,0,0.00,26.03,0.00
"Зеркальный Двойник","violet",rich,7,30,30,100.00,4.35,100.00
"Зеркальный Двойник","sasha",poor,7,30,0,0.00,7.28,0.00
"Зеркальный Двойник","sasha",mid,7,30,0,0.00,13.02,0.00
"Зеркальный Двойник","sasha",rich,7,30,29,96.67,4.38,19.89
"Зеркальный Двойник","jennifer",poor,8,30,0,0.00,12.71,0.00
"Зеркальный Двойник","jennifer",mid,8,30,0,0.00,34.11,0.00
"Зеркальный Двойник","jennifer",rich,8,30,30,100.00,6.76,100.00
"Зеркальный Двойник","violet",poor,8,30,0,0.00,6.52,0.00
"Зеркальный Двойник","violet",mid,8,30,0,0.00,23.05,0.00
"Зеркальный Двойник","violet",rich,8,30,30,100.00,4.63,100.00
"Зеркальный Двойник","sasha",poor,8,30,0,0.00,7.28,0.00
"Зеркальный Двойник","sasha",mid,8,30,0,0.00,14.93,0.00
"Зеркальный Двойник","sasha",rich,8,30,28,93.33,4.77,21.27
"Пожиратель Реликвий","jennifer",poor,6,30,0,0.00,8.99,0.00
"Пожиратель Реликвий","jennifer",mid,6,30,17,56.67,28.67,7.40
"Пожиратель Реликвий","jennifer",rich,6,30,30,100.00,4.80,100.00
"Пожиратель Реликвий","violet",poor,6,30,0,0.00,4.46,0.00
"Пожиратель Реликвий","violet",mid,6,30,0,0.00,16.51,0.00
"Пожиратель Реликвий","violet",rich,6,30,30,100.00,4.23,100.00
"Пожиратель Реликвий","sasha",poor,6,30,0,0.00,5.02,0.00
"Пожиратель Реликвий","sasha",mid,6,30,0,0.00,9.22,0.00
"Пожиратель Реликвий","sasha",rich,6,30,30,100.00,5.66,80.15
"Пожиратель Реликвий","jennifer",poor,7,30,0,0.00,8.69,0.00
"Пожиратель Реликвий","jennifer",mid,7,30,0,0.00,28.76,0.00
"Пожиратель Реликвий","jennifer",rich,7,30,30,100.00,5.94,100.00
"Пожиратель Реликвий","violet",poor,7,30,0,0.00,4.41,0.00
"Пожиратель Реликвий","violet",mid,7,30,0,0.00,15.99,0.00
"Пожиратель Реликвий","violet",rich,7,30,30,100.00,4.61,100.00
"Пожиратель Реликвий","sasha",poor,7,30,0,0.00,5.05,0.00
"Пожиратель Реликвий","sasha",mid,7,30,0,0.00,8.79,0.00
"Пожиратель Реликвий","sasha",rich,7,30,30,100.00,6.35,73.64
"Пожиратель Реликвий","jennifer",poor,8,30,0,0.00,7.49,0.00
"Пожиратель Реликвий","jennifer",mid,8,30,0,0.00,24.38,0.00
"Пожиратель Реликвий","jennifer",rich,8,30,30,100.00,6.96,100.00
"Пожиратель Реликвий","violet",poor,8,30,0,0.00,4.26,0.00
"Пожиратель Реликвий","violet",mid,8,30,0,0.00,13.95,0.00
"Пожиратель Реликвий","violet",rich,8,30,30,100.00,4.95,100.00
"Пожиратель Реликвий","sasha",poor,8,30,0,0.00,5.02,0.00
"Пожиратель Реликвий","sasha",mid,8,30,0,0.00,10.25,0.00
"Пожиратель Реликвий","sasha",rich,8,30,30,100.00,7.13,65.73
"Владыка Ямы","jennifer",poor,10,30,0,0.00,10.06,0.00
"Владыка Ямы","jennifer",mid,10,30,0,0.00,35.35,0.00
"Владыка Ямы","jennifer",rich,10,30,30,100.00,13.73,99.50
"Владыка Ямы","violet",poor,10,30,0,0.00,5.64,0.00
"Владыка Ямы","violet",mid,10,30,0,0.00,20.14,0.00
"Владыка Ямы","violet",rich,10,30,30,100.00,6.11,100.00
"Владыка Ямы","sasha",poor,10,30,0,0.00,8.12,0.00
"Владыка Ямы","sasha",mid,10,30,0,0.00,15.63,0.00
"Владыка Ямы","sasha",rich,10,30,29,96.67,11.47,19.75
"Сердце Подземелья","jennifer",poor,10,30,0,0.00,106.42,75.20
"Сердце Подземелья","jennifer",mid,10,30,0,0.00,120.01,100.00
"Сердце Подземелья","jennifer",rich,10,30,30,100.00,30.73,100.00
"Сердце Подземелья","violet",poor,10,30,0,0.00,68.75,34.13
"Сердце Подземелья","violet",mid,10,30,0,0.00,120.01,96.44
"Сердце Подземелья","violet",rich,10,30,30,100.00,12.99,100.00
"Сердце Подземелья","sasha",poor,10,30,0,0.00,43.57,0.26
"Сердце Подземелья","sasha",mid,10,30,20,66.67,85.49,16.88
"Сердце Подземелья","sasha",rich,10,30,30,100.00,37.32,67.46
